PC_Timestamp,BatteryPercent,IMU_Timestamp,Label,StepCount,Distance,Speed,AccelMagnitude,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
2025-08-02T16:44:44.154082,0,18565,0,0,0.0,0.0,0.926,0.444,-0.501,-0.64,-1.406,3.688,1.234
2025-08-02T16:44:44.214085,0,18620,0,0,0.0,0.0,0.931,0.455,-0.509,-0.633,0.5,-2.266,-0.938
2025-08-02T16:44:44.259057,0,18670,0,0,0.0,0.0,0.925,0.461,-0.519,-0.612,1.703,-2.062,-2.0
2025-08-02T16:44:44.319025,0,18724,0,0,0.0,0.0,0.931,0.457,-0.515,-0.627,0.812,2.125,0.797
2025-08-02T16:44:44.364017,0,18770,0,0,0.0,0.0,0.933,0.454,-0.507,-0.637,-1.828,0.266,0.844
2025-08-02T16:44:44.409024,0,18820,0,0,0.0,0.0,0.92,0.453,-0.513,-0.615,-2.141,0.25,0.312
2025-08-02T16:44:44.469037,0,18871,0,0,0.0,0.0,0.926,0.454,-0.516,-0.621,-1.484,1.516,0.344
2025-08-02T16:44:44.514028,0,18924,0,0,0.0,0.0,0.927,0.452,-0.513,-0.626,-1.797,3.609,1.375
2025-08-02T16:44:44.559015,0,18970,0,0,0.0,0.0,0.929,0.452,-0.511,-0.63,-1.781,1.719,1.25
2025-08-02T16:44:44.619020,0,19020,0,0,0.0,0.0,0.925,0.449,-0.511,-0.626,-0.328,1.359,0.219
2025-08-02T16:44:44.664016,0,19070,0,0,0.0,0.0,0.923,0.452,-0.511,-0.622,0.297,1.016,-0.844
2025-08-02T16:44:44.709053,0,19124,0,0,0.0,0.0,0.931,0.456,-0.514,-0.628,0.969,2.609,-0.766
2025-08-02T16:44:44.769026,0,19170,0,0,0.0,0.0,0.926,0.452,-0.511,-0.626,1.438,1.984,-1.078
2025-08-02T16:44:44.814001,0,19221,0,0,0.0,0.0,0.928,0.456,-0.515,-0.623,0.891,1.031,-0.828
2025-08-02T16:44:44.858980,0,19274,0,0,0.0,0.0,0.927,0.455,-0.515,-0.622,0.328,1.922,-1.406
2025-08-02T16:44:44.903974,0,19316,0,0,0.0,0.0,0.927,0.458,-0.518,-0.617,0.141,1.344,-0.406
2025-08-02T16:44:44.964016,0,19370,0,0,0.0,0.0,0.927,0.459,-0.514,-0.619,-0.109,2.266,-0.062
2025-08-02T16:44:45.009090,0,19420,0,0,0.0,0.0,0.927,0.456,-0.516,-0.621,-2.047,0.969,1.344
2025-08-02T16:44:45.069018,0,19473,0,0,0.0,0.0,0.919,0.452,-0.514,-0.613,-1.391,2.156,1.688
2025-08-02T16:44:45.113996,0,19520,0,0,0.0,0.0,0.925,0.455,-0.517,-0.618,-1.531,2.781,1.812
2025-08-02T16:44:45.158982,0,19570,0,0,0.0,0.0,0.927,0.458,-0.516,-0.618,-1.078,2.859,0.375
2025-08-02T16:44:45.219815,0,19621,0,0,0.0,0.0,0.924,0.457,-0.513,-0.618,-1.188,3.078,0.625
2025-08-02T16:44:45.263976,0,19670,0,0,0.0,0.0,0.925,0.453,-0.517,-0.619,-0.812,3.031,0.312
2025-08-02T16:44:45.308954,0,19720,0,0,0.0,0.0,0.927,0.459,-0.518,-0.616,-0.828,1.281,-0.312
2025-08-02T16:44:45.383992,0,19770,0,0,0.0,0.0,0.928,0.46,-0.52,-0.616,-0.328,0.688,-0.641
2025-08-02T16:44:45.413998,0,19820,0,0,0.0,0.0,0.923,0.459,-0.517,-0.612,-0.938,3.422,0.562
2025-08-02T16:44:45.473992,0,19873,0,0,0.0,0.0,0.926,0.456,-0.514,-0.621,-2.953,3.047,1.609
2025-08-02T16:44:45.519002,0,19920,0,0,0.0,0.0,0.928,0.46,-0.516,-0.619,-3.469,0.828,0.938
2025-08-02T16:44:45.578988,0,19971,0,0,0.0,0.0,0.92,0.456,-0.519,-0.608,-2.5,0.719,0.219
2025-08-02T16:44:45.608994,0,20020,0,0,0.0,0.0,0.933,0.463,-0.518,-0.623,-2.906,1.578,1.297
2025-08-02T16:44:45.669013,0,20070,0,0,0.0,0.0,0.925,0.457,-0.509,-0.623,-2.891,0.281,0.391
2025-08-02T16:44:45.714033,0,20125,0,0,0.0,0.0,0.922,0.456,-0.517,-0.612,-2.75,0.281,-0.469
2025-08-02T16:44:45.759014,0,20175,0,0,0.0,0.0,0.929,0.459,-0.52,-0.617,-2.109,1.578,-0.422
2025-08-02T16:44:45.818998,0,20220,0,0,0.0,0.0,0.925,0.455,-0.513,-0.621,-3.141,1.141,0.562
2025-08-02T16:44:45.863986,0,20270,0,0,0.0,0.0,0.926,0.455,-0.513,-0.622,-3.469,1.484,0.938
2025-08-02T16:44:45.909020,0,20320,0,0,0.0,0.0,0.925,0.455,-0.512,-0.621,-3.469,-0.219,0.531
2025-08-02T16:44:45.969011,0,20370,0,0,0.0,0.0,0.926,0.455,-0.514,-0.622,-2.812,1.578,0.562
2025-08-02T16:44:46.014024,0,20420,0,0,0.0,0.0,0.927,0.457,-0.519,-0.618,-2.156,0.891,0.219
2025-08-02T16:44:46.058999,0,20471,0,0,0.0,0.0,0.927,0.457,-0.512,-0.624,-1.484,1.531,0.188
2025-08-02T16:44:46.118996,0,20525,0,0,0.0,0.0,0.928,0.458,-0.516,-0.62,-2.844,1.547,0.391
2025-08-02T16:44:46.163995,0,20566,0,0,0.0,0.0,0.927,0.456,-0.515,-0.621,-2.547,0.859,0.656
2025-08-02T16:44:46.208995,0,20620,0,0,0.0,0.0,0.919,0.455,-0.511,-0.614,-3.484,2.266,0.781
2025-08-02T16:44:46.269039,0,20671,0,0,0.0,0.0,0.936,0.458,-0.518,-0.63,-3.281,-0.062,1.062
2025-08-02T16:44:46.314021,0,20720,0,0,0.0,0.0,0.921,0.455,-0.508,-0.619,-2.703,-0.859,0.891
2025-08-02T16:44:46.373989,0,20770,0,0,0.0,0.0,0.92,0.454,-0.512,-0.615,-2.172,1.922,0.234
2025-08-02T16:44:46.418988,0,20820,0,0,0.0,0.0,0.932,0.46,-0.515,-0.626,-2.609,2.141,0.219
2025-08-02T16:44:46.479000,0,20871,0,0,0.0,0.0,0.924,0.452,-0.511,-0.623,-1.859,0.766,0.609
2025-08-02T16:44:46.509008,0,20925,0,0,0.0,0.0,0.926,0.457,-0.511,-0.623,-2.391,0.531,0.438
2025-08-02T16:44:46.584171,0,20970,0,0,0.0,0.0,0.922,0.453,-0.511,-0.619,-1.547,1.125,-0.375
2025-08-02T16:44:46.614082,0,21020,0,0,0.0,0.0,0.926,0.454,-0.514,-0.623,-0.844,1.078,-0.016
2025-08-02T16:44:46.658999,0,21070,0,0,0.0,0.0,0.925,0.458,-0.511,-0.62,-2.359,1.672,0.156
2025-08-02T16:44:46.719013,0,21120,0,0,0.0,0.0,0.924,0.453,-0.513,-0.62,-1.641,1.25,0.016
